,Mkt-RF,SMB,HML,RMW,CMA,RF,Mom,
1994,-4.06,-2.3,-0.76,5.8,3.86,3.9,199207,1.47
1995,31.25,-8.25,5.7,1.85,2.52,5.6,199208,-0.47
1996,15.99,-3.12,8.7,15.16,0.8,5.21,199209,1.44
1997,26.02,-6.5,18.26,9.04,5.38,5.26,199210,2.5
1998,19.45,-27.75,-10.77,3.03,-4.03,4.86,199211,-0.25
1999,20.53,7.97,-28.61,-28.94,-6.78,4.68,199212,4.33
2000,-17.45,4.19,45.28,23.52,30.01,5.89,199301,4.85
2001,-15.02,22.81,19.04,18.3,13.26,3.83,199302,3.18
2002,-22.76,5.67,8.74,21.03,14.21,1.65,199303,3.7
2003,30.68,24.4,4.76,-20.53,15.59,1.02,199304,0.36
2004,10.75,7.33,7.64,8.42,-7.39,1.2,199305,0.21
2005,3.14,-0.81,9.36,1.49,-4.81,2.98,199306,4.57
2006,10.58,1.59,11.71,3.41,8.52,4.8,199307,3.22
2007,1.07,-8.42,-16.92,4.51,-7.36,4.66,199308,2.54
2008,-38.25,2.96,1.24,14.86,3.11,1.6,199309,3.39
2009,28.35,7.94,-8.22,2.51,-1.27,0.1,199310,-2.67
2010,17.31,13.33,-5.35,-1.28,9.92,0.12,199311,-4.77
2011,0.49,-5.39,-8.32,13.58,-0.92,0.04,199312,2.33
2012,16.3,-0.4,9.91,-5.62,9.05,0.06,199401,0.11
2013,35.18,8.26,2.54,-3.64,1.3,0.02,199402,-0.34
2014,11.74,-7.9,-1.8,1.13,-1.62,0.02,199403,-1.32
2015,0.23,-5.73,-9.53,0.98,-8.64,0.02,199404,0.33
2016,13.34,9.05,22.81,4.55,9.51,0.2,199405,-2.05
2017,21.51,-6.27,-13.37,4.56,-11.19,0.8,199406,-0.9
2018,-6.83,-5.06,-9.62,-1.2,0.2,1.81,199407,0.11
2019,28.4,-6.6,-10.33,3.71,-3.09,2.14,199408,1.54
2020,23.65,3.74,-46.94,-5.21,-11.7,0.44,199409,1.32
